Year,Month,Day,Time (in MPH),Speed
2020,10,18,15:25:48,<Direction.ENTER: 1>
2020,10,18,15:26:14,<Direction.ENTER: 1>
2020,10,18,15:26:16,<Direction.ENTER: 1>
2020,10,18,15:26:41,<Direction.ENTER: 1>
2020,10,18,15:26:59,<Direction.ENTER: 1>
2020,10,18,15:27:02,<Direction.ENTER: 1>
2020,10,18,15:27:02,<Direction.ENTER: 1>
2020,10,18,15:27:02,<Direction.ENTER: 1>
2020,10,18,15:30:00,<Direction.ENTER: 1>
2020,10,18,15:30:04,<Direction.ENTER: 1>
2020,10,18,15:30:07,<Direction.ENTER: 1>
2020,10,18,15:30:09,<Direction.ENTER: 1>
2020,10,18,15:32:55,<Direction.ENTER: 1>
2020,10,18,15:34:49,<Direction.ENTER: 1>
2020,10,18,15:34:53,<Direction.ENTER: 1>
2020,10,18,15:35:54,<Direction.ENTER: 1>
2020,10,18,15:35:54,<Direction.ENTER: 1>
2020,10,18,15:44:07,<Direction.ENTER: 1>
2020,10,18,15:49:07,<Direction.ENTER: 1>
2020,10,18,15:49:07,<Direction.ENTER: 1>
2020,10,18,15:49:11,<Direction.ENTER: 1>
2020,10,18,15:49:18,<Direction.ENTER: 1>
2020,10,18,15:49:51,<Direction.ENTER: 1>
2020,10,18,15:50:23,<Direction.ENTER: 1>
2020,10,18,15:50:48,<Direction.ENTER: 1>
2020,10,18,15:50:53,<Direction.ENTER: 1>
2020,10,18,15:52:14,<Direction.ENTER: 1>
2020,10,18,15:52:14,<Direction.ENTER: 1>
2020,10,18,15:52:59,<Direction.ENTER: 1>
2020,10,18,15:54:54,<Direction.ENTER: 1>
2020,10,18,15:55:31,<Direction.ENTER: 1>
2020,10,18,15:55:32,<Direction.ENTER: 1>
2020,10,18,15:55:33,<Direction.ENTER: 1>
2020,10,18,15:59:43,<Direction.ENTER: 1>
2020,10,18,15:59:43,<Direction.ENTER: 1>
2020,10,18,16:02:50,<Direction.ENTER: 1>
2020,10,18,16:03:31,<Direction.ENTER: 1>
2020,10,18,16:03:32,<Direction.ENTER: 1>
2020,10,18,16:03:47,<Direction.ENTER: 1>
2020,10,18,16:04:40,<Direction.ENTER: 1>
2020,10,18,16:04:42,<Direction.ENTER: 1>
2020,10,18,16:05:38,<Direction.ENTER: 1>
2020,10,18,16:05:40,<Direction.ENTER: 1>
2020,10,18,16:07:15,<Direction.ENTER: 1>
2020,10,18,16:07:17,<Direction.ENTER: 1>
2020,10,18,16:07:49,<Direction.ENTER: 1>
2020,10,18,16:07:51,<Direction.ENTER: 1>
2020,10,18,16:11:52,<Direction.ENTER: 1>
2020,10,18,16:12:43,<Direction.ENTER: 1>
2020,10,18,16:13:01,<Direction.ENTER: 1>
2020,10,18,16:13:23,<Direction.ENTER: 1>
2020,10,18,16:15:06,<Direction.ENTER: 1>
2020,10,18,16:16:30,<Direction.ENTER: 1>
2020,10,18,16:16:44,<Direction.ENTER: 1>
2020,10,18,16:17:11,<Direction.ENTER: 1>
2020,10,18,16:17:17,<Direction.ENTER: 1>
2020,10,18,16:17:17,<Direction.ENTER: 1>
2020,10,18,16:20:42,<Direction.ENTER: 1>
2020,10,18,16:20:45,<Direction.ENTER: 1>
2020,10,18,16:26:31,<Direction.ENTER: 1>
2020,10,18,16:26:32,<Direction.ENTER: 1>
2020,10,18,16:29:51,<Direction.ENTER: 1>
2020,10,18,16:29:52,<Direction.ENTER: 1>
2020,10,18,16:31:34,<Direction.ENTER: 1>
2020,10,18,16:36:38,<Direction.ENTER: 1>
2020,10,18,16:48:04,<Direction.ENTER: 1>
2020,10,18,16:48:04,<Direction.ENTER: 1>
2020,10,18,16:49:05,<Direction.ENTER: 1>
2020,10,18,16:52:52,<Direction.ENTER: 1>
2020,10,18,16:52:53,<Direction.ENTER: 1>
2020,10,18,16:54:41,<Direction.ENTER: 1>
2020,10,18,16:55:01,<Direction.ENTER: 1>
2020,10,18,17:04:23,<Direction.ENTER: 1>
2020,10,18,17:05:05,<Direction.ENTER: 1>
2020,10,18,17:05:06,<Direction.ENTER: 1>
2020,10,18,17:06:15,<Direction.ENTER: 1>
2020,10,18,17:07:18,<Direction.ENTER: 1>
2020,10,18,17:08:10,<Direction.ENTER: 1>
2020,10,18,17:11:51,<Direction.ENTER: 1>
2020,10,18,17:18:02,<Direction.ENTER: 1>
2020,10,18,17:18:57,<Direction.ENTER: 1>
2020,10,18,17:19:00,<Direction.ENTER: 1>
2020,10,18,17:19:24,<Direction.ENTER: 1>
2020,10,18,17:23:51,<Direction.ENTER: 1>
2020,10,18,17:26:05,<Direction.ENTER: 1>
2020,10,18,17:26:07,<Direction.ENTER: 1>
2020,10,18,17:27:06,<Direction.ENTER: 1>
2020,10,18,17:27:08,<Direction.ENTER: 1>
2020,10,18,17:29:34,<Direction.ENTER: 1>
2020,10,18,17:32:27,<Direction.ENTER: 1>
2020,10,18,17:33:36,<Direction.ENTER: 1>
2020,10,18,17:38:26,<Direction.ENTER: 1>
2020,10,18,17:38:27,<Direction.ENTER: 1>
2020,10,18,17:38:28,<Direction.ENTER: 1>
2020,10,18,17:38:28,<Direction.ENTER: 1>
2020,10,18,17:38:56,<Direction.ENTER: 1>
2020,10,18,17:38:57,<Direction.ENTER: 1>
2020,10,18,17:38:58,<Direction.ENTER: 1>
2020,10,18,17:46:12,<Direction.ENTER: 1>
2020,10,18,17:46:14,<Direction.ENTER: 1>
2020,10,18,17:47:24,<Direction.ENTER: 1>
